trip_id,start_time,end_time,headway_secs,exact_times
trip_0,06:00:00,17:30:00,300,0
trip_1,06:00:00,21:30:00,300,0
trip_2,06:30:00,21:00:00,300,0
trip_3,06:00:00,21:30:00,300,0
trip_4,06:00:00,21:00:00,300,0
trip_5,06:00:00,21:00:00,300,0
trip_6,06:30:00,21:00:00,300,0
trip_7,06:00:00,21:00:00,300,0
trip_8,06:00:00,21:30:00,300,0
trip_9,06:00:00,21:30:00,300,0
trip_10,06:00:00,21:30:00,300,0
trip_11,06:00:00,21:30:00,300,0
trip_12,06:00:00,21:30:00,300,0
trip_13,06:00:00,21:30:00,300,0
trip_14,06:30:00,21:30:00,300,0
trip_15,06:30:00,21:30:00,600,0
trip_16,06:30:00,22:00:00,300,0
trip_17,06:00:00,22:00:00,300,0
trip_18,06:00:00,21:30:00,600,0
trip_19,06:00:00,22:00:00,300,0
trip_20,06:00:00,22:00:00,300,0
trip_21,06:00:00,22:00:00,300,0
trip_22,06:00:00,21:30:00,300,0
trip_23,06:00:00,22:00:00,300,0
trip_24,06:00:00,21:30:00,300,0
trip_25,06:00:00,21:30:00,300,0
trip_26,06:00:00,22:00:00,300,0
trip_27,06:00:00,22:00:00,300,0
trip_28,06:30:00,21:30:00,300,0
trip_29,06:30:00,21:30:00,300,0
trip_30,07:00:00,21:30:00,300,0
trip_31,06:30:00,21:30:00,300,0
trip_32,06:30:00,22:00:00,300,0
trip_33,06:30:00,22:00:00,300,0
trip_34,06:00:00,22:00:00,300,0
trip_35,06:30:00,21:30:00,300,0
trip_36,06:00:00,22:00:00,300,0
trip_37,06:30:00,21:30:00,600,0
trip_38,06:00:00,22:00:00,300,0
trip_39,06:30:00,22:00:00,300,0
trip_40,06:30:00,21:30:00,300,0
trip_41,06:30:00,22:00:00,300,0
trip_42,06:30:00,22:00:00,300,0
trip_43,06:30:00,22:00:00,300,0
trip_44,06:30:00,21:30:00,300,0
trip_45,06:30:00,22:30:00,300,0
