route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
route_315,,Govind Puri,Flexible e-Rickshaw from Govind Puri,,715,,,,,,
route_312,,Botanical Garden,Flexible e-Rickshaw from Botanical Garden,,715,,,,,,
route_310,,Okhla Bird Sanctury,Flexible Shared Auto from Okhla Bird Sanctury,,715,,,,,,
route_309,,Bata Chowk,Flexible Shared Auto from Bata Chowk,,715,,,,,,
route_306,,Jasola Vihar,Flexible e-Rickshaw from Jasola Vihar,,715,,,,,,
route_302,,Okhla Vihar,Flexible e-Rickshaw from Okhla Vihar,,715,,,,,,
route_299,,Jamia Millia Islamia,Flexible e-Rickshaw from Jamia Millia Islamia,,715,,,,,,
route_296,,Sarai,Flexible e-Rickshaw from Sarai,,715,,,,,,
route_295,,Jamia Millia Islamia,Flexible e-Rickshaw from Jamia Millia Islamia,,715,,,,,,
route_291,,Badarpur,Flexible e-Rickshaw from Badarpur,,715,,,,,,
route_285,,Mohan Estate,Flexible e-Rickshaw from Mohan Estate,,715,,,,,,
route_284,,Jashola,Flexible e-Rickshaw from Jashola,,715,,,,,,
route_282,,Okhla,Flexible e-Rickshaw from Okhla,,715,,,,,,
route_281,,Govind Puri,Flexible Gramin-Seva from Govind Puri,,715,,,,,,
route_279,,Kailash Colony,Flexible e-Rickshaw from Kailash Colony,,715,,,,,,
route_278,,Jangpura,Flexible e-Rickshaw from Jangpura,,715,,,,,,
route_277,,Sadar Bazar,Flexible e-Rickshaw from Sadar Bazar,,715,,,,,,
route_275,,Palam,Flexible e-Rickshaw from Palam,,715,,,,,,
route_270,,Janak Puri West,Flexible e-Rickshaw from Janak Puri West,,715,,,,,,
route_301,,Okhla Vihar,Flexible e-Rickshaw from Okhla Vihar,,715,,,,,,
route_268,,Delhi Gate,Flexible e-Rickshaw from Delhi Gate,,715,,,,,,
route_289,,Tughlakabad,Flexible Shared Auto from Tughlakabad,,715,,,,,,
route_287,,Tughlakabad,Flexible e-Rickshaw from Tughlakabad,,715,,,,,,
route_265,,Dhansa Bus Stand,Flexible e-Rickshaw from Dhansa Bus Stand,,715,,,,,,
route_263,,Jama Masjid,Flexible e-Rickshaw from Jama Masjid,,715,,,,,,
route_261,,Lal Quila,Flexible e-Rickshaw from Lal Quila,,715,,,,,,
route_260,,Lal Quila,Flexible e-Rickshaw from Lal Quila,,715,,,,,,
route_303,,Sector-28,Flexible e-Rickshaw from Sector-28,,715,,,,,,
route_259,,Lal Quila,Flexible e-Rickshaw from Lal Quila,,715,,,,,,
route_300,,Jamia Millia Islamia,Flexible e-Rickshaw from Jamia Millia Islamia,,715,,,,,,
route_258,,Sector 52 Noida,Flexible Shared Auto from Sector 52 Noida,,715,,,,,,
route_254,,Sector 54 Chowk,Flexible Gramin-Seva from Sector 54 Chowk,,715,,,,,,
route_251,,Sector 42-43,Flexible Gramin-Seva from Sector 42-43,,715,,,,,,
route_274,,Palam,Flexible e-Rickshaw from Palam,,715,,,,,,
route_250,,Sector 42-43,Flexible Gramin-Seva from Sector 42-43,,715,,,,,,
route_283,,Hauz Khas,Flexible Gramin-Seva from Hauz Khas,,715,,,,,,
route_249,,Phase-1,Flexible Gramin-Seva from Phase-1,,715,,,,,,
route_247,,Phase-1,Flexible Gramin-Seva from Phase-1,,715,,,,,,
route_246,,Sikandar Pur,Flexible Gramin-Seva from Sikandar Pur,,715,,,,,,
route_288,,Nehru Enclave,Flexible Gramin-Seva from Nehru Enclave,,715,,,,,,
route_245,,Vaishali,Flexible Shared Auto from Vaishali,,715,,,,,,
route_244,,Noida Electronic City,Flexible e-Rickshaw from Noida Electronic City,,715,,,,,,
route_243,,Sector 62 Noida,Flexible e-Rickshaw from Sector 62 Noida,,715,,,,,,
route_242,,Sector 62 Noida,Flexible e-Rickshaw from Sector 62 Noida,,715,,,,,,
route_240,,Sector 59 Noida,Flexible e-Rickshaw from Sector 59 Noida,,715,,,,,,
route_290,,Tughlakabad,Flexible Shared Auto from Tughlakabad,,715,,,,,,
route_239,,Huda City Centre,Flexible e-Rickshaw from Huda City Centre,,715,,,,,,
route_238,,Sector 59 Noida,Flexible e-Rickshaw from Sector 59 Noida,,715,,,,,,
route_235,,noida City centre,Flexible e-Rickshaw from noida City centre,,715,,,,,,
route_232,,MG Road,Flexible Shared Auto from MG Road,,715,,,,,,
route_231,,Noida City centre,Flexible Shared Auto from Noida City centre,,715,,,,,,
route_229,,Botanical Garden,Flexible e-Rickshaw from Botanical Garden,,715,,,,,,
route_226,,Noida Sec15,Flexible Private e-Rickshaw from Noida Sec15,,715,,,,,,
route_225,,Noida sector 15,Flexible Shared Auto from Noida sector 15,,715,,,,,,
route_267,,Jama Masjid,Flexible e-Rickshaw from Jama Masjid,,715,,,,,,
route_221,,Preet Vihar,Flexible Cycle Rickshaw from Preet Vihar,,715,,,,,,
route_218,,Nirman Vihar,Flexible e-Rickshaw from Nirman Vihar,,715,,,,,,
route_269,,Delhi gate,Flexible e-Rickshaw from Delhi gate,,715,,,,,,
route_217,,Laxmi Nagar,Flexible e-Rickshaw from Laxmi Nagar,,715,,,,,,
route_216,,R K Ashram Marg,Flexible e-Rickshaw from R K Ashram Marg,,715,,,,,,
route_311,,Bata Chowk,Flexible Shared Auto from Bata Chowk,,715,,,,,,
route_215,,R K Ashram Marg,Flexible e-Rickshaw from R K Ashram Marg,,715,,,,,,
route_214,,Jhandewalan,Flexible e-Rickshaw from Jhandewalan,,715,,,,,,
route_213,,Karol Bagh,Flexible e-Rickshaw from Karol Bagh,,715,,,,,,
route_212,,Sikanderpur,Flexible e-Rickshaw from Sikanderpur,,715,,,,,,
route_255,,Sector 55-56,Flexible Gramin-Seva from Sector 55-56,,715,,,,,,
route_211,,Karol Bagh,Flexible e-Rickshaw from Karol Bagh,,715,,,,,,
