shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_715_1,28.656319,77.22921,1,0.0
shp_715_1,28.656429,77.226952,2,221.258
shp_715_1,28.656898,77.22699,3,273.655
shp_715_1,28.65773,77.227036,4,366.34
shp_715_1,28.658688,77.22702,5,472.833
shp_715_1,28.659039,77.227005,6,512.028
shp_715_1,28.65963,77.227005,7,577.918
shp_715_1,28.659702,77.22702,8,586.079
shp_715_1,28.659739,77.227043,9,590.809
shp_715_1,28.65976,77.227074,10,594.269
shp_715_1,28.659843,77.227226,11,612.242
shp_715_1,28.659901,77.227386,12,628.884
shp_715_1,28.659937,77.227531,13,643.519
shp_715_1,28.659952,77.227554,14,646.615
shp_715_1,28.659973,77.22757,15,649.005
shp_715_1,28.660124,77.227585,16,665.811
shp_715_1,28.66013,77.227364,17,687.54
shp_715_1,28.660233,77.225716,18,848.34
shp_715_1,28.660374,77.224236,19,994.136
shp_715_1,28.660406,77.224083,20,1009.281
shp_715_1,28.660429,77.223938,21,1023.732
shp_715_1,28.660543,77.223724,22,1048.378
shp_715_1,28.660604,77.223633,23,1059.618
shp_715_1,28.659628,77.223549,24,1168.611
shp_715_1,28.659628,77.223549,25,1168.611
shp_715_1,28.659239,77.223526,26,1211.856
shp_715_1,28.65881,77.223465,27,1260.007
shp_715_1,28.658422,77.223419,28,1303.317
shp_715_1,28.658316,77.223396,29,1315.529
shp_715_1,28.657827,77.223236,30,1372.148
shp_715_1,28.657648,77.223213,31,1392.094
shp_715_1,28.65756,77.223213,32,1401.893
shp_715_1,28.657278,77.223236,33,1433.43
shp_715_1,28.657255,77.222626,34,1492.931
shp_715_1,28.657255,77.222626,35,1492.931
shp_715_1,28.657211,77.222023,36,1552.321
shp_715_2,28.506344,77.17511,1,0.0
shp_715_2,28.506952,77.175705,2,89.428
shp_715_2,28.507318,77.176132,3,147.746
shp_715_2,28.507374,77.176163,4,154.39
shp_715_2,28.507431,77.176178,5,161.042
shp_715_2,28.50749,77.176186,6,167.679
shp_715_2,28.507549,77.176186,7,174.326
shp_715_2,28.507608,77.176178,8,180.97
shp_715_2,28.507666,77.176155,9,187.62
shp_715_2,28.507719,77.176125,10,194.264
shp_715_2,28.507769,77.176086,11,200.907
shp_715_2,28.507813,77.176041,12,207.559
shp_715_2,28.507879,77.175941,13,220.011
shp_715_2,28.507961,77.175774,14,238.462
shp_715_2,28.508051,77.17514,15,301.272
shp_715_2,28.508133,77.174721,16,343.607
shp_715_2,28.508209,77.174522,17,364.354
shp_715_2,28.508305,77.174347,18,384.572
shp_715_2,28.508593,77.174034,19,429.122
shp_715_2,28.508696,77.173935,20,444.035
shp_715_2,28.508913,77.173645,21,481.089
shp_715_2,28.509073,77.173309,22,518.701
shp_715_2,28.50938,77.172577,23,598.305
shp_715_2,28.509651,77.171852,24,675.533
shp_715_2,28.510115,77.170845,25,786.633
shp_715_2,28.510202,77.170586,26,813.817
shp_715_2,28.510292,77.170258,27,847.444
shp_715_2,28.510349,77.169937,28,878.843
shp_715_2,28.510525,77.168449,29,1025.927
shp_715_2,28.510574,77.168175,30,1053.665
shp_715_2,28.510651,77.167938,31,1078.127
shp_715_2,28.510763,77.167671,32,1107.029
shp_715_2,28.511019,77.167213,33,1160.092
shp_715_2,28.511118,77.167061,34,1178.863
shp_715_2,28.51124,77.166916,35,1198.09
shp_715_2,28.511467,77.16674,36,1228.679
shp_715_2,28.511467,77.16674,37,1228.679
shp_715_2,28.512589,77.165848,38,1381.029
shp_715_2,28.513502,77.165108,39,1506.061
shp_715_2,28.513683,77.164948,40,1531.508
shp_715_2,28.513964,77.164696,41,1571.329
shp_715_2,28.514605,77.164017,42,1668.966
shp_715_2,28.514856,77.163719,43,1709.331
shp_715_2,28.514856,77.163719,44,1709.331
shp_715_2,28.515081,77.163452,45,1745.122
shp_715_2,28.515291,77.163193,46,1779.947
shp_715_2,28.517208,77.160858,47,2092.422
shp_715_2,28.517437,77.160561,48,2131.263
shp_715_2,28.517574,77.1604,49,2152.893
shp_715_2,28.51774,77.16024,50,2177.408
shp_715_2,28.517857,77.160133,51,2193.637
shp_715_2,28.51829,77.159805,52,2251.591
shp_715_2,28.518417,77.159737,53,2267.561
shp_715_2,28.518555,77.159973,54,2295.744
shp_715_2,28.518677,77.160172,55,2319.276
shp_715_2,28.519501,77.161667,56,2491.642
shp_715_2,28.519501,77.161667,57,2491.642
shp_715_2,28.520714,77.163841,58,2743.812
shp_715_2,28.520754,77.163933,59,2754.103
shp_715_2,28.520807,77.164131,60,2773.824
shp_715_2,28.520855,77.164444,61,2805.276
shp_715_2,28.520899,77.164993,62,2859.193
shp_715_2,28.520899,77.164993,63,2859.193
shp_715_2,28.520929,77.16539,64,2898.242
shp_715_2,28.520954,77.165581,65,2916.893
shp_715_2,28.521011,77.165764,66,2935.814
shp_715_2,28.521717,77.167374,67,3112.079
shp_715_2,28.521776,77.167488,68,3124.885
shp_715_2,28.521872,77.167641,69,3143.028
shp_715_2,28.52206,77.167854,70,3172.926
