trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off
trip_0,06:00:00,06:00:00,112c085c,1,,0,0,0.0,1,0,0
trip_0,06:06:57,06:06:57,328d321c,2,,0,0,583.361,1,0,0
trip_0,06:09:10,06:09:10,d1eb9224,3,,0,0,1146.56,1,0,0
trip_0,06:11:44,06:11:44,62b4d662,4,,0,0,1360.131,1,0,0
trip_1,06:00:00,06:00:00,b52fd20a,1,,0,0,0.0,1,0,0
trip_1,06:11:05,06:11:05,fbc2fdfe,2,,0,0,1355.991,1,0,0
trip_1,06:15:48,06:15:48,fe8116f0,3,,0,0,1775.687,1,0,0
trip_1,06:18:32,06:18:32,31160036,4,,0,0,2085.756,1,0,0
trip_1,06:29:02,06:29:02,29769caa,5,,0,0,3178.767,1,0,0
trip_1,06:30:42,06:30:42,c96f566e,6,,0,0,3318.661,1,0,0
trip_2,06:30:00,06:30:00,7d26ff0d,1,,0,0,0.0,1,0,0
trip_2,06:34:40,06:34:40,c7915e8e,2,,0,0,391.852,1,0,0
trip_2,06:36:05,06:36:05,c8a96bed,3,,0,0,509.266,1,0,0
trip_2,06:39:12,06:39:12,63c45d21,4,,0,0,768.888,1,0,0
trip_2,06:45:07,06:45:07,14e429fe,5,,0,0,1293.955,1,0,0
trip_2,06:50:10,06:50:10,79925171,6,,0,0,1718.885,1,0,0
trip_2,06:52:53,06:52:53,b8ac93a4,7,,0,0,1944.577,1,0,0
trip_2,06:59:01,06:59:01,926f7f0b,8,,0,0,2458.223,1,0,0
trip_3,06:00:00,06:00:00,e81ed611,1,,0,0,0.0,1,0,0
trip_3,06:02:41,06:02:41,a2d5535d,2,,0,0,233.432,1,0,0
trip_3,06:06:33,06:06:33,adeec8a3,3,,0,0,640.671,1,0,0
trip_3,06:07:38,06:07:38,949cf143,4,,0,0,730.313,1,0,0
trip_3,06:08:57,06:08:57,48dcc4dd,5,,0,0,845.308,1,0,0
trip_3,06:10:24,06:10:24,a2e7f12b,6,,0,0,1019.548,1,0,0
trip_3,06:20:26,06:20:26,dcce0fc5,7,,0,0,1937.697,1,0,0
trip_4,06:00:00,06:00:00,e81ed611,1,,0,0,0.0,1,0,0
trip_4,06:05:58,06:05:58,e5483290,2,,0,0,580.256,1,0,0
trip_4,06:08:26,06:08:26,4788c000,3,,0,0,783.549,1,0,0
trip_4,06:10:42,06:10:42,2342cfaf,4,,0,0,991.981,1,0,0
trip_4,06:12:33,06:12:33,f6c2a071,5,,0,0,1152.145,1,0,0
trip_4,06:14:54,06:14:54,b9ec2da4,6,,0,0,1424.756,1,0,0
trip_4,06:16:31,06:16:31,2c621d50,7,,0,0,1559.883,1,0,0
trip_4,06:18:08,06:18:08,e3d61582,8,,0,0,1693.589,1,0,0
trip_4,06:22:56,06:22:56,8dd0598d,9,,0,0,2126.018,1,0,0
trip_4,06:27:58,06:27:58,5f21aef4,10,,0,0,2551.037,1,0,0
trip_4,06:30:13,06:30:13,ca990cd3,11,,0,0,2739.353,1,0,0
trip_4,06:40:14,06:40:14,fd56a8e1,12,,0,0,3682.058,1,0,0
trip_5,06:00:00,06:00:00,e81ed611,1,,0,0,0.0,1,0,0
trip_5,06:05:58,06:05:58,e5483290,2,,0,0,580.256,1,0,0
trip_5,06:08:26,06:08:26,4788c000,3,,0,0,783.549,1,0,0
trip_5,06:10:42,06:10:42,2342cfaf,4,,0,0,991.981,1,0,0
trip_5,06:12:33,06:12:33,f6c2a071,5,,0,0,1152.145,1,0,0
trip_5,06:14:54,06:14:54,b9ec2da4,6,,0,0,1424.756,1,0,0
trip_5,06:16:31,06:16:31,2c621d50,7,,0,0,1559.883,1,0,0
trip_5,06:18:08,06:18:08,e3d61582,8,,0,0,1693.589,1,0,0
trip_5,06:22:56,06:22:56,8dd0598d,9,,0,0,2126.018,1,0,0
trip_5,06:27:58,06:27:58,5f21aef4,10,,0,0,2551.037,1,0,0
trip_5,06:30:13,06:30:13,ca990cd3,11,,0,0,2739.353,1,0,0
trip_5,06:40:14,06:40:14,fd56a8e1,12,,0,0,3682.058,1,0,0
trip_6,06:30:00,06:30:00,e81ed611,1,,0,0,0.0,1,0,0
trip_6,06:39:38,06:39:38,b95238fe,2,,0,0,800.556,1,0,0
trip_6,06:43:59,06:43:59,706460c4,3,,0,0,1163.952,1,0,0
trip_6,06:45:38,06:45:38,39b6292b,4,,0,0,1310.166,1,0,0
trip_6,06:48:20,06:48:20,8d7b3670,5,,0,0,1535.841,1,0,0
trip_6,06:54:02,06:54:02,5ff5617e,6,,0,0,2011.183,1,0,0
trip_6,06:56:15,06:56:15,cabd1097,7,,0,0,2197.176,1,0,0
trip_6,06:58:15,06:58:15,f04a4478,8,,0,0,2373.589,1,0,0
trip_7,06:00:00,06:00:00,e81ed611,1,,0,0,0.0,1,0,0
trip_7,06:05:43,06:05:43,cbf11730,2,,0,0,471.974,1,0,0
trip_7,06:07:09,06:07:09,3d17651f,3,,0,0,590.806,1,0,0
trip_7,06:09:45,06:09:45,14ab6534,4,,0,0,807.941,1,0,0
trip_7,06:14:02,06:14:02,1a9a52f3,5,,0,0,1164.728,1,0,0
trip_7,06:15:49,06:15:49,ca21fad3,6,,0,0,1323.058,1,0,0
trip_7,06:18:14,06:18:14,d58e6ffc,7,,0,0,1524.667,1,0,0
trip_7,06:20:29,06:20:29,231b9309,8,,0,0,1727.568,1,0,0
trip_7,06:22:34,06:22:34,795fe8f9,9,,0,0,1902.374,1,0,0
trip_7,06:23:39,06:23:39,5c9b1f17,10,,0,0,1994.123,1,0,0
trip_7,06:24:47,06:24:47,02254d92,11,,0,0,2087.931,1,0,0
trip_7,06:25:48,06:25:48,0b0f26d3,12,,0,0,2170.263,1,0,0
trip_8,06:00:00,06:00:00,e81ed611,1,,0,0,0.0,1,0,0
trip_8,06:07:18,06:07:18,e0fc223d,2,,0,0,859.399,1,0,0
trip_8,06:09:03,06:09:03,618d0c33,3,,0,0,1006.424,1,0,0
trip_8,06:14:28,06:14:28,7224115f,4,,0,0,1459.364,1,0,0
trip_8,06:20:02,06:20:02,9dd33c11,5,,0,0,1944.521,1,0,0
trip_8,06:21:27,06:21:27,ec20743e,6,,0,0,2065.069,1,0,0
trip_8,06:23:21,06:23:21,9493d7b6,7,,0,0,2221.571,1,0,0
trip_8,06:25:01,06:25:01,789b1ed4,8,,0,0,2360.779,1,0,0
trip_8,06:29:14,06:29:14,fa8b45d6,9,,0,0,2711.858,1,0,0
trip_9,06:00:00,06:00:00,7d26ff0d,1,,0,0,0.0,1,0,0
