stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
112c085c,112c085c,Govind Puri,,28.544413,77.264259,,,0,,,0,,
328d321c,328d321c,Mother Dairy,,28.544481,77.27018,,,0,,,0,,
d1eb9224,d1eb9224,Gb Pant Dseu Okhla Canpus,,28.546011,77.270935,,,0,,,0,,
62b4d662,62b4d662,Iiitd Campus,,28.547367,77.272491,,,0,,,0,,
b52fd20a,b52fd20a,Harkesh Nagar Okhla,,28.543194,77.275955,,,0,,,0,,
fbc2fdfe,fbc2fdfe,T Block,,28.534935,77.27462,,,0,,,0,,
fe8116f0,fe8116f0,Power House,,28.531931,77.276756,,,0,,,0,,
31160036,31160036,B Block Okhla,,28.531597,77.279053,,,0,,,0,,
29769caa,29769caa,Steel Authority Of India,,28.524855,77.283699,,,0,,,0,,
c96f566e,c96f566e,Tehkhand Sabji Mandi,,28.523605,77.283867,,,0,,,0,,
7d26ff0d,7d26ff0d,Shastri Nagar,,28.670135,77.181679,,,0,,,0,,
c7915e8e,c7915e8e,Subhadhara Colony,,28.670746,77.17775,,,0,,,0,,
c8a96bed,c8a96bed,E Block Shashtri Nagar,,28.670967,77.176575,,,0,,,0,,
63c45d21,63c45d21,Power House/ Vicky Motors,,28.671488,77.173981,,,0,,,0,,
14e429fe,14e429fe,Inderlok,,28.672991,77.169243,,,0,,,0,,
79925171,79925171,Shanti Nagar,,28.676468,77.167488,,,0,,,0,,
b8ac93a4,b8ac93a4,Trinagar/J J Colony,,28.678329,77.166557,,,0,,,0,,
926f7f0b,926f7f0b,Kanhaiya Nagar,,28.682564,77.164474,,,0,,,0,,
e81ed611,e81ed611,Kanhaiya Nagar,,28.682386,77.162552,,,0,,,0,,
a2d5535d,a2d5535d,Healthways Gym,,28.682047,77.160286,,,0,,,0,,
adeec8a3,adeec8a3,Kendra Vidyala A1 Keshavpuram,,28.68273,77.157082,,,0,,,0,,
949cf143,949cf143,A2 Keshavpuram,,28.682035,77.156609,,,0,,,0,,
48dcc4dd,48dcc4dd,Parshuram Chowk (Near Shankar Chowk),,28.681183,77.156044,,,0,,,0,,
a2e7f12b,a2e7f12b,Rampura Redlight,,28.681101,77.1548,,,0,,,0,,
dcce0fc5,dcce0fc5,Britainia Chowk,,28.683043,77.146538,,,0,,,0,,
e81ed611,e81ed611,Kanhaiya Nagar,,28.682386,77.162552,,,0,,,0,,
e5483290,e5483290,Tyagi Public School B3 Keshavpuram,,28.686882,77.162415,,,0,,,0,,
4788c000,4788c000,Keshavpuram Metro Station,,28.688639,77.161758,,,0,,,0,,
2342cfaf,2342cfaf,Kettle Bell Gym,,28.690006,77.160606,,,0,,,0,,
f6c2a071,f6c2a071,C4 Market Keshavpuram,,28.689117,77.159393,,,0,,,0,,
b9ec2da4,b9ec2da4,C3 Dda Flats Mandir Gurudwara,,28.689314,77.157402,,,0,,,0,,
2c621d50,2c621d50,Skv No1 & 2 Keshavpuram,,28.689898,77.156189,,,0,,,0,,
e3d61582,e3d61582,Meeting Point,,28.690292,77.154892,,,0,,,0,,
8dd0598d,8dd0598d,C2 Keshavpuram,,28.686764,77.154037,,,0,,,0,,
5f21aef4,5f21aef4,A1 Keshavpuram,,28.683008,77.154556,,,0,,,0,,
ca990cd3,ca990cd3,Rampura Redlight,,28.681328,77.1548,,,0,,,0,,
fd56a8e1,fd56a8e1,Britania Chowk,,28.682983,77.146477,,,0,,,0,,
e81ed611,e81ed611,Kanhaiya Nagar,,28.682386,77.162552,,,0,,,0,,
e5483290,e5483290,Tyagi Public School B3 Keshavpuram,,28.686882,77.162415,,,0,,,0,,
4788c000,4788c000,Keshavpuram Metro Station,,28.688639,77.161758,,,0,,,0,,
2342cfaf,2342cfaf,Kettle Bell Gym,,28.690006,77.160606,,,0,,,0,,
f6c2a071,f6c2a071,C4 Market Keshavpuram,,28.689117,77.159393,,,0,,,0,,
b9ec2da4,b9ec2da4,C3 Dda Flats Mandir Gurudwara,,28.689314,77.157402,,,0,,,0,,
2c621d50,2c621d50,Skv No1 & 2 Keshavpuram,,28.689898,77.156189,,,0,,,0,,
e3d61582,e3d61582,Meeting Point,,28.690292,77.154892,,,0,,,0,,
8dd0598d,8dd0598d,C2 Keshavpuram,,28.686764,77.154037,,,0,,,0,,
5f21aef4,5f21aef4,A1 Keshavpuram,,28.683008,77.154556,,,0,,,0,,
ca990cd3,ca990cd3,Rampura Redlight,,28.681328,77.1548,,,0,,,0,,
fd56a8e1,fd56a8e1,Britania Chowk,,28.682983,77.146477,,,0,,,0,,
e81ed611,e81ed611,Kanhaiya Nagar,,28.682386,77.162552,,,0,,,0,,
b95238fe,b95238fe,Montfort School,,28.685833,77.169777,,,0,,,0,,
706460c4,706460c4,Murga Market Wazirpur Village,,28.687082,77.173218,,,0,,,0,,
39b6292b,39b6292b,Water Tanky Ashok Vihar,,28.687937,77.174232,,,0,,,0,,
8d7b3670,8d7b3670,Wazirpur Village,,28.689648,77.175468,,,0,,,0,,
5ff5617e,5ff5617e,Sagar Ratna Ashok Vihar,,28.693293,77.178017,,,0,,,0,,
cabd1097,cabd1097,Kulachi Hansraj School,,28.694681,77.179062,,,0,,,0,,
f04a4478,f04a4478,Satyawati College,,28.695827,77.180176,,,0,,,0,,
e81ed611,e81ed611,Kanhaiya Nagar,,28.682386,77.162552,,,0,,,0,,
cbf11730,cbf11730,Nagpal Chole Bhature,,28.684702,77.166672,,,0,,,0,,
3d17651f,3d17651f,Major Dhyan Chand Sports Complex,,28.685118,77.167793,,,0,,,0,,
14ab6534,14ab6534,Montfort School,,28.685862,77.169846,,,0,,,0,,
1a9a52f3,1a9a52f3,Murga Market Wazirpur Village,,28.687084,77.173225,,,0,,,0,,
ca21fad3,ca21fad3,Water Tank Ashok Vihar,,28.688036,77.174301,,,0,,,0,,
d58e6ffc,d58e6ffc,Wazirpur Village,,28.689568,77.1754,,,0,,,0,,
231b9309,231b9309,Mr Crust Bakery,,28.691055,77.176308,,,0,,,0,,
795fe8f9,795fe8f9,Shiv Market,,28.691935,77.174835,,,0,,,0,,
5c9b1f17,5c9b1f17,Police Station Ashok Vihar,,28.692547,77.17421,,,0,,,0,,
02254d92,02254d92,Master Bakers,,28.693159,77.173553,,,0,,,0,,
0b0f26d3,0b0f26d3,Deep Market Ashok Vihar,,28.693817,77.173096,,,0,,,0,,
e81ed611,e81ed611,Kanhaiya Nagar,,28.682386,77.162552,,,0,,,0,,
e0fc223d,e0fc223d,J J Colony And Tri Nagar,,28.67841,77.166847,,,0,,,0,,
618d0c33,618d0c33,Shanti Nagar,,28.6772,77.167427,,,0,,,0,,
7224115f,7224115f,Inderlok Metro Station,,28.673491,77.169357,,,0,,,0,,
9dd33c11,9dd33c11,Mother Dairy Shastri Nagar,,28.671789,77.173683,,,0,,,0,,
ec20743e,ec20743e,Vicky Motors Shastri Nagar,,28.671541,77.174873,,,0,,,0,,
9493d7b6,9493d7b6,E Block Shastri Nagar,,28.671234,77.176437,,,0,,,0,,
789b1ed4,789b1ed4,Subhadhra Colony,,28.670982,77.177834,,,0,,,0,,
fa8b45d6,fa8b45d6,Shastri Nagar Metro Station,,28.67029,77.181335,,,0,,,0,,
7d26ff0d,7d26ff0d,Shastri Nagar,,28.670135,77.181679,,,0,,,0,,
2674398b,2674398b,Shastri Nagar A Block,,28.672848,77.186234,,,0,,,0,,
4bef7978,4bef7978,Gulabi Bagh Mandir,,28.673628,77.187202,,,0,,,0,,
a8cb3b3a,a8cb3b3a,Gurudwara Gulabi Bagh,,28.67654,77.189079,,,0,,,0,,
2cb2b4c9,2cb2b4c9,Bharat Nagar,,28.681236,77.184975,,,0,,,0,,
